,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON,index
5116,Tyreke Evans,SG,29,IND,69,18,1402,9.0,23.0,.389,2.7,7.5,.356,6.3,15.5,.405,4.0,5.6,.719,1.2,5.9,7.0,5.8,2.0,0.6,4.1,4.1,24.6,,94,107,2018-19,TyrekeEvans2018-19
5117,Aaron Holiday,PG,22,IND,50,0,646,8.0,19.8,.401,3.3,9.6,.339,4.7,10.2,.459,3.1,3.8,.820,0.4,4.7,5.1,6.6,1.6,1.0,3.0,5.4,22.3,,102,108,2018-19,AaronHoliday2018-19
5118,Alize Johnson,PF,22,IND,14,0,64,3.1,12.2,.250,0.8,1.5,.500,2.3,10.7,.214,3.1,6.1,.500,3.1,11.5,14.5,0.8,0.8,2.3,0.0,5.4,9.9,,86,105,2018-19,AlizeJohnson2018-19
5119,Cory Joseph,PG,27,IND,82,9,2063,5.4,13.0,.412,1.3,4.1,.322,4.1,8.9,.454,0.7,1.0,.698,0.9,5.7,6.6,7.6,2.2,0.5,1.9,3.1,12.7,,105,107,2018-19,CoryJoseph2018-19
5120,T.J. Leaf,PF,21,IND,58,1,522,9.3,17.1,.541,0.7,2.9,.258,8.5,14.2,.599,1.8,2.9,.613,4.0,7.7,11.7,2.2,0.8,1.8,1.1,3.3,21.1,,119,107,2018-19,T.J.Leaf2018-19
5121,Wesley Matthews,SG,32,IND,23,23,725,5.5,14.2,.386,3.2,8.8,.369,2.2,5.4,.413,2.8,3.2,.854,0.7,3.6,4.4,3.7,1.3,0.3,2.1,3.8,16.9,,106,111,2018-19,WesleyMatthews2018-19
5122,Doug McDermott,SF,27,IND,77,1,1340,7.6,15.4,.491,3.1,7.5,.408,4.5,7.9,.569,2.4,2.9,.835,0.6,3.4,4.0,2.4,0.7,0.3,1.5,3.8,20.6,,117,112,2018-19,DougMcDermott2018-19
5123,Kyle O'Quinn,C,28,IND,45,3,371,9.1,17.9,.507,0.1,1.6,.083,9.0,16.3,.548,2.2,2.8,.810,3.8,11.9,15.7,7.4,1.2,3.3,4.1,9.0,20.6,,106,102,2018-19,KyleO'Quinn2018-19
5124,Victor Oladipo,SG,26,IND,36,36,1147,10.6,25.1,.423,3.2,9.2,.343,7.5,15.9,.470,4.4,6.0,.730,0.9,7.7,8.6,7.9,2.6,0.5,3.5,3.1,28.8,,104,105,2018-19,VictorOladipo2018-19
5125,Davon Reed,SG,23,IND,10,0,47,5.2,12.5,.417,2.1,4.2,.500,3.1,8.3,.375,0.0,0.0,,2.1,4.2,6.2,3.1,1.0,0.0,1.0,3.1,12.5,,107,111,2018-19,DavonReed2018-19
5126,Domantas Sabonis,C,22,IND,74,5,1838,11.0,18.6,.590,0.2,0.5,.529,10.8,18.2,.592,5.5,7.7,.715,5.0,13.4,18.4,5.6,1.3,0.8,4.3,6.4,27.8,,118,104,2018-19,DomantasSabonis2018-19
5127,Edmond Sumner,PG,23,IND,23,2,210,5.1,14.9,.344,1.6,6.3,.259,3.5,8.6,.405,3.5,5.6,.625,2.1,3.5,5.6,2.3,2.8,1.2,2.3,6.1,15.4,,91,106,2018-19,EdmondSumner2018-19
5128,Myles Turner,C,22,IND,74,74,2119,8.8,18.0,.487,1.8,4.5,.388,7.0,13.5,.521,3.4,4.6,.736,2.3,9.9,12.3,2.7,1.4,4.6,2.3,4.5,22.7,,110,101,2018-19,MylesTurner2018-19
5129,Thaddeus Young,PF,30,IND,81,81,2489,8.7,16.5,.527,1.0,2.9,.349,7.7,13.7,.564,1.7,2.7,.644,3.8,6.5,10.3,4.0,2.4,0.7,2.4,3.8,20.1,,113,106,2018-19,ThaddeusYoung2018-19
5130,Patrick Beverley,PG,30,LAC,78,49,2137,4.3,10.5,.407,2.5,6.2,.397,1.8,4.3,.421,2.1,2.7,.780,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,,119,111,2018-19,PatrickBeverley2018-19
5131,Avery Bradley,SG,28,LAC,49,49,1463,5.2,13.5,.383,1.9,5.5,.337,3.3,8.0,.415,0.6,0.8,.800,1.1,3.1,4.2,3.1,0.9,0.5,2.0,4.3,12.9,,93,116,2018-19,AveryBradley2018-19
5132,Wilson Chandler,SF,31,LAC,15,1,226,4.8,13.8,.348,2.7,8.4,.325,2.1,5.4,.385,1.0,1.5,.714,0.8,9.0,9.8,2.1,0.6,0.6,1.5,6.1,13.4,,94,112,2018-19,WilsonChandler2018-19
5133,Danilo Gallinari,C,24,LAC,2,0,15,3.1,15.7,.200,0.0,0.0,,3.1,15.7,.200,3.1,6.3,.500,6.3,6.3,12.6,0.0,3.1,0.0,0.0,6.3,9.4,,78,109,2018-19,DaniloGallinari2018-19
5134,Danilo Gallinari,SF,30,LAC,68,68,2059,9.4,20.3,.463,3.7,8.5,.433,5.7,11.7,.484,8.4,9.3,.904,1.2,8.3,9.6,4.1,1.1,0.5,2.3,3.0,30.9,,125,112,2018-19,DaniloGallinari2018-19
5135,Shai Gilgeous-Alexander,PG,20,LAC,82,73,2174,7.4,15.5,.476,1.1,3.0,.367,6.3,12.5,.503,3.4,4.2,.800,1.2,3.8,5.0,5.9,2.1,1.0,3.1,3.8,19.3,,108,112,2018-19,ShaiGilgeous-Alexander2018-19
5136,Marcin Gortat,C,34,LAC,47,43,751,6.2,11.7,.532,0.0,0.0,,6.2,11.7,.532,2.2,3.0,.729,4.2,12.2,16.4,4.1,0.4,1.5,3.1,5.8,14.6,,110,110,2018-19,MarcinGortat2018-19
5137,JaMychal Green,PF,28,LAC,24,2,471,7.9,16.4,.482,3.3,8.0,.413,4.6,8.4,.548,1.7,2.1,.810,3.2,12.5,15.7,1.4,1.2,0.8,2.3,7.0,20.8,,113,109,2018-19,JaMychalGreen2018-19
5138,Montrezl Harrell,C,25,LAC,82,5,2158,11.9,19.4,.615,0.1,0.4,.176,11.9,19.0,.623,5.8,9.1,.643,4.0,7.7,11.7,3.5,1.6,2.4,2.9,5.6,29.8,,122,109,2018-19,MontrezlHarrell2018-19
5139,Tobias Harris,PF,26,LAC,55,55,1903,10.5,21.2,.496,2.8,6.4,.434,7.7,14.8,.523,4.8,5.4,.877,0.9,9.8,10.7,3.7,1.0,0.6,2.7,3.1,28.6,,115,111,2018-19,TobiasHarris2018-19
5140,Boban Marjanović,C,30,LAC,36,9,376,10.7,17.6,.607,0.0,0.3,.000,10.7,17.3,.616,9.0,11.9,.758,6.9,12.2,19.1,2.8,1.4,2.1,4.6,7.2,30.4,,122,107,2018-19,BobanMarjanović2018-19
5141,Luc Mbah a Moute,PF,32,LAC,4,0,61,6.2,13.9,.444,1.5,4.6,.333,4.6,9.3,.500,1.5,3.9,.400,1.5,3.9,5.4,1.5,0.8,0.8,1.5,6.2,15.5,,98,115,2018-19,LucMbahaMoute2018-19
5142,Johnathan Motley,PF,23,LAC,22,0,156,11.8,22.1,.534,0.0,0.9,.000,11.8,21.2,.557,7.3,12.1,.600,5.4,10.0,15.4,3.3,1.5,0.9,4.8,8.2,30.9,,106,109,2018-19,JohnathanMotley2018-19
5143,Jerome Robinson,SG,21,LAC,33,0,320,6.5,16.2,.400,2.7,8.4,.316,3.8,7.8,.491,0.9,1.3,.667,0.4,5.6,6.0,2.8,1.6,0.4,1.9,6.8,16.5,,96,112,2018-19,JeromeRobinson2018-19
5144,Mike Scott,PF,30,LAC,52,0,748,5.8,14.5,.400,3.3,8.4,.391,2.5,6.1,.412,0.8,1.1,.667,1.5,9.5,11.0,2.8,1.1,0.5,1.7,5.6,15.6,,104,111,2018-19,MikeScott2018-19
5145,Landry Shamet,SG,21,LAC,25,23,694,5.9,14.3,.414,4.6,10.3,.450,1.3,4.0,.322,2.1,2.7,.795,0.5,3.3,3.8,3.9,0.9,0.1,1.3,3.3,18.6,,120,116,2018-19,LandryShamet2018-19
5146,Garrett Temple,SG,32,LAC,26,6,510,3.9,9.8,.396,1.5,5.0,.296,2.4,4.8,.500,2.1,2.9,.742,0.9,5.0,5.9,3.4,2.4,0.5,1.5,6.5,11.4,,106,111,2018-19,GarrettTemple2018-19
5147,Miloš Teodosić,PG,31,LAC,15,0,150,5.3,12.6,.425,3.1,8.5,.370,2.2,4.1,.538,1.3,2.2,.571,0.9,4.1,5.0,10.1,0.9,0.3,6.6,8.5,15.1,,94,115,2018-19,MilošTeodosić2018-19
5148,Sindarius Thornwell,SG,24,LAC,64,1,313,2.6,7.4,.347,0.5,2.3,.200,2.1,5.1,.412,3.8,5.1,.735,0.8,5.9,6.6,2.7,2.1,1.1,3.0,6.2,9.3,,88,110,2018-19,SindariusThornwell2018-19
5149,Tyrone Wallace,PG,24,LAC,62,0,628,6.9,16.3,.424,0.3,1.4,.211,6.6,14.9,.444,2.3,4.3,.526,1.5,6.1,7.6,3.2,1.6,0.5,2.7,6.2,16.4,,89,112,2018-19,TyroneWallace2018-19
5150,Lou Williams,SG,32,LAC,75,1,1993,11.5,26.9,.425,2.5,6.9,.361,9.0,20.1,.447,10.1,11.5,.876,0.9,4.3,5.3,9.5,1.3,0.3,4.3,1.9,35.5,,112,114,2018-19,LouWilliams2018-19
5151,Ivica Zubac,C,21,LAC,26,25,524,9.0,16.8,.538,0.0,0.0,,9.0,16.8,.538,4.0,5.4,.733,5.5,12.5,18.0,3.4,0.9,2.2,3.3,5.8,22.0,,113,108,2018-19,IvicaZubac2018-19
5152,Lonzo Ball,PG,21,LAL,47,45,1423,6.0,14.9,.406,2.5,7.5,.329,3.6,7.5,.482,0.7,1.6,.417,1.8,6.4,8.2,8.3,2.3,0.6,3.4,3.7,15.2,,100,109,2018-19,LonzoBall2018-19
5153,Michael Beasley,PF,30,LAL,26,2,277,12.6,25.7,.490,0.5,2.9,.176,12.1,22.8,.529,4.7,6.6,.718,2.2,7.9,10.1,4.2,1.5,1.7,4.5,7.1,30.4,,99,108,2018-19,MichaelBeasley2018-19
5154,Isaac Bonga,PG,19,LAL,22,0,120,1.9,12.8,.152,0.0,3.1,.000,1.9,9.7,.200,3.5,5.8,.600,3.5,6.2,9.7,5.8,3.5,1.6,2.3,3.5,7.4,,73,105,2018-19,IsaacBonga2018-19
5155,Reggie Bullock,SG,27,LAL,19,16,524,5.6,13.6,.412,3.0,8.8,.343,2.6,4.8,.537,1.5,1.9,.810,0.2,4.3,4.4,1.8,1.4,0.6,1.0,2.7,15.7,,107,112,2018-19,ReggieBullock2018-19
5156,Kentavious Caldwell-Pope,SG,25,LAL,82,23,2035,7.4,17.3,.430,3.5,9.9,.347,4.0,7.3,.542,3.1,3.6,.867,1.1,4.3,5.4,2.5,1.7,0.3,1.5,3.1,21.4,,113,112,2018-19,KentaviousCaldwell-Pope2018-19
5157,Alex Caruso,PG,24,LAL,25,4,531,6.7,15.2,.445,2.1,4.4,.480,4.6,10.8,.431,4.5,5.6,.797,1.8,4.1,5.9,6.7,2.1,0.8,3.7,4.7,20.1,,109,110,2018-19,AlexCaruso2018-19
5158,Tyson Chandler,C,36,LAL,48,6,786,3.1,5.2,.609,0.0,0.1,.000,3.1,5.1,.616,2.4,4.1,.594,5.0,10.8,15.9,1.8,1.1,1.3,2.1,5.3,8.7,,121,108,2018-19,TysonChandler2018-19
5159,Josh Hart,SG,23,LAL,67,22,1715,5.1,12.6,.407,2.5,7.4,.336,2.6,5.2,.511,1.5,2.2,.688,0.9,5.8,6.7,2.5,1.7,1.1,1.6,4.0,14.2,,103,110,2018-19,JoshHart2018-19
5160,Andre Ingram,SG,33,LAL,4,0,15,0.0,18.6,.000,0.0,9.3,.000,0.0,9.3,.000,0.0,0.0,,3.1,3.1,6.2,0.0,3.1,0.0,3.1,0.0,0.0,,12,110,2018-19,AndreIngram2018-19
5161,Brandon Ingram,SF,21,LAL,52,52,1760,9.6,19.3,.497,0.8,2.5,.330,8.8,16.8,.521,5.2,7.6,.675,1.1,6.0,7.1,4.1,0.7,0.8,3.4,3.9,25.1,,104,112,2018-19,BrandonIngram2018-19
5162,LeBron James,SF,34,LAL,55,55,1937,13.4,26.3,.510,2.7,7.9,.339,10.7,18.4,.582,6.7,10.0,.665,1.4,9.8,11.2,10.9,1.7,0.8,4.7,2.3,36.2,,114,108,2018-19,LeBronJames2018-19
5163,Jemerrio Jones,SF,23,LAL,6,2,143,3.9,10.7,.364,0.7,3.3,.200,3.3,7.5,.435,0.3,0.7,.500,5.2,10.7,15.9,4.2,2.3,1.6,1.6,3.3,8.8,,102,105,2018-19,JemerrioJones2018-19
5164,Kyle Kuzma,PF,23,LAL,70,68,2314,10.0,21.9,.456,2.6,8.5,.303,7.4,13.4,.553,3.8,5.0,.752,1.2,6.5,7.7,3.6,0.8,0.5,2.7,3.4,26.3,,106,112,2018-19,KyleKuzma2018-19
5165,Scott Machado,PG,28,LAL,4,0,19,9.8,14.7,.667,2.4,2.4,1.000,7.3,12.2,.600,2.4,2.4,1.000,0.0,0.0,0.0,7.3,2.4,0.0,0.0,4.9,24.5,,165,113,2018-19,ScottMachado2018-19
5166,JaVale McGee,C,31,LAL,75,62,1671,11.1,17.9,.624,0.0,0.3,.083,11.1,17.5,.634,2.7,4.2,.632,5.4,10.3,15.8,1.4,1.3,4.1,3.0,5.8,25.0,,117,104,2018-19,JaValeMcGee2018-19
5167,Mike Muscala,PF,27,LAL,17,4,265,6.3,14.6,.434,3.7,10.0,.368,2.6,4.6,.577,1.2,1.4,.875,1.1,6.7,7.7,2.5,0.7,1.9,0.9,3.2,17.6,,117,111,2018-19,MikeMuscala2018-19
5168,Svi Mykhailiuk,SF,21,LAL,39,0,420,4.9,14.6,.333,3.0,9.4,.318,1.9,5.2,.362,1.3,2.2,.600,0.9,2.9,3.8,3.7,1.4,0.1,2.2,2.8,14.1,,91,114,2018-19,SviMykhailiuk2018-19
5169,Rajon Rondo,PG,32,LAL,46,29,1369,5.9,14.7,.405,1.7,4.8,.359,4.2,9.9,.428,0.8,1.2,.639,1.2,7.1,8.3,12.5,1.9,0.2,4.3,3.4,14.4,,100,110,2018-19,RajonRondo2018-19
5170,Lance Stephenson,SG,28,LAL,68,3,1123,7.6,17.9,.426,3.0,8.2,.371,4.6,9.7,.472,2.1,3.0,.685,1.3,7.6,8.9,5.8,1.7,0.3,3.6,4.6,20.3,,101,110,2018-19,LanceStephenson2018-19
5171,Moritz Wagner,C,21,LAL,43,5,446,7.4,17.8,.415,2.3,8.0,.286,5.1,9.8,.521,4.5,5.5,.811,1.8,7.1,8.9,2.5,1.1,1.4,4.1,5.9,21.6,,96,110,2018-19,MoritzWagner2018-19
5172,Johnathan Williams,C,23,LAL,24,0,372,8.1,13.8,.591,0.0,0.3,.000,8.1,13.5,.602,3.4,6.0,.563,6.0,6.4,12.4,1.6,1.0,0.9,2.0,7.8,19.6,,120,111,2018-19,JohnathanWilliams2018-19
5173,Ivica Zubac,C,21,LAL,33,12,516,10.1,17.4,.580,0.0,0.0,,10.1,17.4,.580,5.1,6.0,.864,4.9,9.7,14.6,2.3,0.4,2.4,3.0,6.6,25.3,,120,109,2018-19,IvicaZubac2018-19
5174,Kyle Anderson,SF,25,MEM,43,40,1281,5.8,10.7,.543,0.3,1.3,.265,5.5,9.4,.583,1.4,2.5,.578,1.9,7.9,9.7,5.0,2.1,1.4,2.3,4.3,13.4,,110,107,2018-19,KyleAnderson2018-19
5175,Avery Bradley,SG,28,MEM,14,14,442,9.8,21.1,.463,3.1,8.2,.384,6.6,12.9,.513,2.6,2.8,.920,0.9,4.0,4.9,6.3,1.6,0.0,3.1,3.8,25.3,,107,112,2018-19,AveryBradley2018-19
5176,Dillon Brooks,SF,23,MEM,18,0,330,7.4,18.4,.402,2.3,6.0,.375,5.1,12.3,.415,3.3,4.5,.733,1.4,3.3,4.7,2.4,1.5,0.6,2.9,7.5,20.3,,94,112,2018-19,DillonBrooks2018-19
5177,MarShon Brooks,SG,30,MEM,29,0,387,9.8,21.7,.450,1.9,6.9,.278,7.8,14.8,.530,3.0,4.2,.697,1.5,4.2,5.8,3.2,1.2,0.5,2.7,4.2,24.4,,98,113,2018-19,MarShonBrooks2018-19
5178,Bruno Caboclo,PF,23,MEM,34,19,800,6.0,14.0,.427,3.0,8.1,.369,3.0,5.9,.505,2.6,3.1,.840,2.6,7.2,9.8,3.1,0.9,2.1,2.4,5.0,17.5,,109,109,2018-19,BrunoCaboclo2018-19
5179,Jevon Carter,PG,23,MEM,39,3,577,4.8,15.9,.303,2.9,8.8,.333,1.9,7.1,.265,2.2,2.8,.813,1.2,4.5,5.7,5.9,2.2,0.9,2.8,4.7,14.8,,90,109,2018-19,JevonCarter2018-19
5180,Omri Casspi,SF,30,MEM,36,0,520,8.2,15.4,.534,1.4,4.1,.349,6.8,11.3,.602,3.7,5.5,.672,1.6,9.4,11.0,2.5,1.9,0.9,2.2,3.3,21.6,,112,107,2018-19,OmriCasspi2018-19
5181,Mike Conley,PG,31,MEM,70,70,2342,10.4,23.8,.438,3.3,9.0,.364,7.1,14.7,.483,7.3,8.6,.845,0.8,4.2,5.1,9.5,2.0,0.5,2.8,2.6,31.4,,117,111,2018-19,MikeConley2018-19
5182,Tyler Dorsey,SG,22,MEM,21,11,447,8.3,19.5,.429,3.8,10.3,.366,4.6,9.1,.500,2.4,3.9,.629,2.0,5.8,7.8,4.3,0.8,0.1,1.9,3.7,22.9,,108,113,2018-19,TylerDorsey2018-19
5183,Marc Gasol,C,34,MEM,53,53,1788,8.4,19.0,.444,2.1,6.1,.344,6.3,12.8,.491,4.2,5.6,.756,1.6,11.1,12.6,6.9,1.7,1.8,3.3,4.1,23.2,,106,106,2018-19,MarcGasol2018-19
5184,JaMychal Green,PF,28,MEM,41,4,900,8.3,17.2,.484,2.1,5.3,.396,6.2,11.9,.523,3.5,4.4,.788,4.0,9.9,13.9,2.0,1.8,1.4,3.5,6.8,22.3,,105,106,2018-19,JaMychalGreen2018-19
5185,Dusty Hannahs,SG,25,MEM,2,0,26,5.7,22.9,.250,0.0,9.6,.000,5.7,13.4,.429,3.8,3.8,1.000,0.0,1.9,1.9,9.6,1.9,0.0,1.9,1.9,15.3,,78,113,2018-19,DustyHannahs2018-19
5186,Andrew Harrison,PG,24,MEM,1,0,5,9.9,19.9,.500,0.0,9.9,.000,9.9,9.9,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,19.9,,97,118,2018-19,AndrewHarrison2018-19
5187,Justin Holiday,SG,29,MEM,44,39,1282,5.8,14.8,.389,2.5,7.6,.333,3.3,7.3,.447,2.1,2.3,.900,1.0,4.9,6.0,2.4,2.1,0.6,2.2,3.3,16.2,,96,110,2018-19,JustinHoliday2018-19
5188,Jaren Jackson,PF,19,MEM,58,56,1515,9.8,19.3,.506,1.7,4.7,.359,8.1,14.7,.553,5.0,6.5,.766,2.4,6.5,8.9,2.1,1.7,2.7,3.2,7.2,26.2,,108,107,2018-19,JarenJackson2018-19
5189,Shelvin Mack,PG,28,MEM,53,3,1204,6.6,16.1,.414,1.9,5.3,.359,4.7,10.8,.441,2.2,3.1,.707,0.7,3.5,4.2,7.5,1.9,0.2,2.6,3.3,17.4,,102,112,2018-19,ShelvinMack2018-19
5190,C.J. Miles,SF,31,MEM,13,0,294,7.1,17.7,.400,4.1,11.2,.364,3.0,6.6,.462,2.2,2.4,.929,0.2,4.4,4.6,2.4,1.4,0.8,1.5,2.9,20.5,,104,112,2018-19,C.J.Miles2018-19
5191,Joakim Noah,C,33,MEM,42,1,693,7.9,15.3,.516,0.0,0.1,.000,7.9,15.2,.519,5.6,7.8,.716,4.2,12.9,17.1,6.4,1.4,2.2,3.6,6.9,21.4,,113,105,2018-19,JoakimNoah2018-19
5192,Chandler Parsons,SF,30,MEM,25,3,496,6.8,18.2,.374,2.9,9.4,.309,3.9,8.8,.443,2.2,2.5,.880,0.4,6.6,7.0,4.3,1.9,0.5,3.2,4.5,18.7,,91,109,2018-19,ChandlerParsons2018-19
5193,Ivan Rabb,PF,21,MEM,49,13,721,8.0,14.6,.547,0.2,1.0,.200,7.8,13.6,.574,3.4,4.8,.710,4.8,9.4,14.2,3.7,1.2,1.0,2.4,6.2,19.6,,117,109,2018-19,IvanRabb2018-19
5194,Wayne Selden,SG,24,MEM,32,0,455,7.1,17.6,.404,2.2,6.9,.317,4.9,10.7,.459,2.4,3.2,.759,1.7,3.1,4.8,3.9,1.1,0.7,2.5,5.2,18.8,,98,113,2018-19,WayneSelden2018-19
5195,D.J. Stephens,SG,28,MEM,1,0,7,7.1,14.2,.500,0.0,0.0,,7.1,14.2,.500,0.0,0.0,,0.0,0.0,0.0,0.0,7.1,0.0,7.1,0.0,14.2,,60,102,2018-19,D.J.Stephens2018-19
5196,Garrett Temple,SG,32,MEM,49,49,1530,5.4,12.6,.429,2.4,6.8,.352,3.0,5.7,.520,1.9,2.5,.750,0.6,4.4,4.9,2.2,1.6,0.8,1.8,4.4,15.0,,103,111,2018-19,GarrettTemple2018-19
5197,Jonas Valančiūnas,C,26,MEM,19,17,527,14.3,26.3,.545,0.5,1.7,.278,13.9,24.6,.563,6.6,8.6,.769,4.9,14.2,19.1,3.9,0.6,2.8,4.8,6.0,35.7,,109,105,2018-19,JonasValančiūnas2018-19
5198,Julian Washburn,SF,27,MEM,18,3,254,3.1,9.4,.333,1.0,4.7,.208,2.2,4.7,.458,0.6,0.8,.750,1.6,6.5,8.0,2.7,2.5,0.4,1.4,3.1,7.8,,89,108,2018-19,JulianWashburn2018-19
5199,Yuta Watanabe,SF,24,MEM,15,0,174,4.3,14.6,.294,0.6,4.6,.125,3.7,10.0,.371,2.0,2.9,.700,1.1,7.7,8.9,2.3,1.1,0.3,1.7,3.1,11.1,,76,111,2018-19,YutaWatanabe2018-19
5200,Delon Wright,PG,26,MEM,26,11,802,7.1,16.4,.434,1.2,4.8,.256,5.9,11.6,.508,4.1,5.5,.742,1.8,6.9,8.7,8.6,2.6,0.9,2.5,3.1,19.6,,110,107,2018-19,DelonWright2018-19
5201,Tyler Zeller,C,29,MEM,4,1,82,9.7,17.0,.571,0.0,0.0,,9.7,17.0,.571,8.5,10.9,.778,5.5,5.5,10.9,1.8,0.6,1.8,2.4,9.7,27.9,,126,111,2018-19,TylerZeller2018-19
5202,Bam Adebayo,C,21,MIA,82,28,1913,7.2,12.4,.576,0.1,0.4,.200,7.1,12.0,.588,4.2,5.8,.735,4.2,11.0,15.2,4.7,1.8,1.7,3.1,5.2,18.6,,120,104,2018-19,BamAdebayo2018-19
5203,Ryan Anderson,PF,30,MIA,10,0,44,2.2,10.0,.222,2.2,6.7,.333,0.0,3.3,.000,1.1,2.2,.500,4.4,5.6,10.0,2.2,1.1,0.0,2.2,2.2,7.8,,86,111,2018-19,RyanAnderson2018-19
5204,Goran Dragić,PG,32,MIA,36,22,991,8.8,21.3,.413,2.8,8.1,.348,6.0,13.3,.454,3.9,5.0,.782,1.0,4.5,5.5,8.6,1.5,0.2,3.5,4.0,24.4,,106,111,2018-19,GoranDragić2018-19
5205,Wayne Ellington,SG,31,MIA,25,12,533,6.3,16.9,.375,5.2,14.2,.368,1.1,2.7,.414,1.3,1.5,.875,0.6,3.8,4.3,2.7,2.2,0.3,1.3,3.7,19.2,,110,109,2018-19,WayneEllington2018-19
5206,Udonis Haslem,C,38,MIA,10,1,74,7.3,21.8,.333,0.0,7.9,.000,7.3,13.9,.524,2.0,2.6,.750,2.0,15.8,17.8,1.3,0.0,0.0,2.0,5.9,16.5,,77,107,2018-19,UdonisHaslem2018-19
5207,James Johnson,PF,31,MIA,55,33,1164,6.9,15.9,.433,2.1,6.3,.336,4.8,9.7,.496,2.1,2.9,.714,0.9,6.5,7.4,5.7,1.5,1.1,3.1,4.8,18.0,,102,108,2018-19,JamesJohnson2018-19
5208,Tyler Johnson,PG,26,MIA,44,10,1123,7.4,17.4,.426,3.1,8.9,.353,4.3,8.6,.503,2.7,3.8,.693,0.8,4.4,5.3,4.9,1.7,0.9,2.7,3.1,20.7,,105,109,2018-19,TylerJohnson2018-19
5209,Derrick Jones,SF,21,MIA,60,14,1153,6.8,13.7,.494,1.2,3.9,.308,5.6,9.9,.567,3.1,5.2,.607,4.1,6.1,10.2,1.6,1.9,1.8,1.8,5.2,17.9,,113,107,2018-19,DerrickJones2018-19
5210,Yante Maten,PF,22,MIA,2,0,13,3.8,15.0,.250,0.0,3.8,.000,3.8,11.3,.333,0.0,0.0,,3.8,7.5,11.3,0.0,3.8,0.0,0.0,0.0,7.5,,70,104,2018-19,YanteMaten2018-19
5211,Rodney McGruder,SG,27,MIA,66,45,1550,5.9,14.5,.403,2.5,7.1,.351,3.4,7.4,.453,1.6,2.3,.722,1.9,5.6,7.5,3.5,1.1,0.4,2.0,3.6,15.9,,104,111,2018-19,RodneyMcGruder2018-19
5212,Kelly Olynyk,PF,27,MIA,79,36,1812,7.0,15.2,.463,3.0,8.6,.354,4.0,6.6,.604,4.1,5.0,.822,1.9,8.2,10.1,3.8,1.4,1.0,3.1,4.9,21.2,,114,108,2018-19,KellyOlynyk2018-19
5213,Josh Richardson,SG,25,MIA,73,73,2539,8.1,19.7,.412,3.2,8.9,.357,5.0,10.9,.458,3.8,4.4,.861,1.0,4.0,5.1,5.7,1.5,0.7,2.2,3.8,23.3,,111,110,2018-19,JoshRichardson2018-19
5214,Duncan Robinson,SF,24,MIA,15,1,161,5.5,14.0,.391,3.0,10.6,.286,2.4,3.3,.727,1.2,1.8,.667,0.6,5.2,5.8,1.5,1.5,0.0,1.2,3.3,15.2,,102,111,2018-19,DuncanRobinson2018-19
5215,Emanuel Terry,PF,22,MIA,1,0,3,0.0,16.3,.000,0.0,0.0,,0.0,16.3,.000,16.3,32.6,.500,16.3,0.0,16.3,16.3,0.0,0.0,0.0,0.0,16.3,,105,117,2018-19,EmanuelTerry2018-19
5216,Dwyane Wade,SG,37,MIA,72,2,1885,10.8,24.9,.433,2.2,6.8,.330,8.6,18.1,.472,4.3,6.0,.708,1.8,5.6,7.4,7.8,1.5,1.0,4.3,3.1,28.1,,102,109,2018-19,DwyaneWade2018-19
5217,Dion Waiters,SG,27,MIA,44,28,1138,8.5,20.5,.414,4.7,12.4,.377,3.8,8.1,.471,0.9,1.9,.500,0.3,4.7,5.0,5.2,1.2,0.4,2.7,3.1,22.6,,102,111,2018-19,DionWaiters2018-19
5218,Hassan Whiteside,C,29,MIA,72,53,1674,11.3,19.8,.571,0.1,0.5,.125,11.3,19.4,.581,3.2,7.1,.449,7.5,16.3,23.8,1.6,1.3,4.0,2.8,5.6,25.9,,112,99,2018-19,HassanWhiteside2018-19
5219,Justise Winslow,SF,22,MIA,66,52,1959,8.1,18.7,.433,2.4,6.4,.375,5.7,12.3,.462,2.1,3.4,.628,1.6,7.3,8.9,7.0,1.8,0.5,3.5,4.4,20.7,,102,108,2018-19,JustiseWinslow2018-19
5220,Giannis Antetokounmpo,PF,24,MIL,72,72,2358,14.2,24.6,.578,1.0,4.0,.256,13.2,20.6,.641,9.9,13.5,.729,3.1,14.6,17.7,8.4,1.8,2.2,5.3,4.6,39.3,,121,99,2018-19,GiannisAntetokounmpo2018-19
5221,Eric Bledsoe,PG,29,MIL,78,78,2272,9.6,19.9,.484,2.5,7.7,.329,7.1,12.2,.582,3.6,4.8,.750,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,,116,105,2018-19,EricBledsoe2018-19
5222,Malcolm Brogdon,SG,26,MIL,64,64,1832,9.6,19.0,.505,2.6,6.2,.426,7.0,12.8,.544,3.6,3.9,.928,1.6,5.7,7.3,5.2,1.2,0.3,2.3,2.6,25.4,,121,108,2018-19,MalcolmBrogdon2018-19
